Battle,Turn,Player_HP,Agent_HP
16,9,61,44
16,10,61,44
16,11,61,39
16,12,56,35
16,13,56,37
16,14,56,41
16,15,42,25
16,16,42,23
16,17,42,22
16,18,42,27
16,19,42,22
16,20,42,22
16,21,42,21
16,22,26,12
16,23,16,1
16,24,16,-13
17,1,72,60
17,2,60,48
17,3,55,38
17,4,59,38
17,5,57,38
17,6,37,24
17,7,31,4
17,8,31,-8
18,1,63,62
18,2,61,46
18,3,46,31
18,4,34,19
18,5,34,19
18,6,29,19
18,7,29,15
18,8,21,3
18,9,16,3
18,10,16,-5
19,1,64,64
19,2,58,49
19,3,55,39
19,4,53,28
19,5,63,38
19,6,59,18
19,7,55,10
19,8,53,1
19,9,53,-10
20,1,75,75
20,2,61,60
20,3,49,49
20,4,55,49
20,5,50,24
20,6,47,14
20,7,45,3
20,8,45,-9
21,1,63,65
21,2,54,51
21,3,45,40
21,4,33,26
21,5,28,22
21,6,25,20
21,7,25,19
21,8,21,19
21,9,11,19
21,10,7,19
21,11,6,19
21,12,1,19
21,13,-2,19
22,1,65,65
22,2,55,54
22,3,55,52
22,4,45,52
22,5,34,37
22,6,34,37
22,7,29,27
22,8,25,18
22,9,23,18
22,10,29,18
22,11,17,10
22,12,24,10
22,13,19,10
22,14,25,10
22,15,32,10
22,16,32,-2
23,1,65,64
23,2,45,58
23,3,30,38
23,4,19,26
23,5,27,26
23,6,23,10
23,7,31,10
23,8,22,2
23,9,27,2
23,10,27,-13
24,1,63,62
24,2,51,46
24,3,49,32
24,4,45,12
24,5,35,1
24,6,35,-4
25,1,61,67
25,2,51,58
25,3,26,43
25,4,21,28
25,5,17,15
25,6,17,0
26,1,60,65
26,2,58,61
26,3,50,50
26,4,49,50
26,5,47,50
26,6,37,42
26,7,12,30
26,8,9,30
26,9,-1,30
27,1,71,63
27,2,67,57
27,3,63,47
27,4,48,34
27,5,38,25
27,6,24,19
27,7,24,-1
28,1,73,60
28,2,67,56
28,3,55,44
28,4,44,30
28,5,33,24
28,6,21,9
28,7,21,9
28,8,18,9
28,9,17,9
28,10,17,-6
29,1,75,75
29,2,70,61
29,3,67,55
29,4,62,41
29,5,47,27
29,6,27,15
29,7,24,15
29,8,19,15
29,9,16,15
29,10,13,15
29,11,-2,15
30,1,69,64
30,2,55,50
30,3,44,30
30,4,39,30
30,5,28,20
30,6,22,16
30,7,17,16
30,8,-3,6
31,1,65,55
31,2,53,35
31,3,53,35
31,4,42,27
31,5,29,13
31,6,29,-1
32,1,63,69
32,2,43,49
32,3,33,40
32,4,22,28
32,5,32,38
32,6,12,27
32,7,10,27
32,8,-2,14
33,1,64,55
33,2,49,44
33,3,40,19
33,4,40,-1
34,1,60,61
34,2,54,46
34,3,62,46
34,4,58,31
34,5,53,17
34,6,53,-8
35,1,60,75
35,2,48,62
35,3,45,54
35,4,35,48
35,5,43,48
35,6,33,33
35,7,20,19
35,8,12,11
35,9,12,-1
36,1,65,63
36,2,56,52
36,3,45,36
36,4,30,16
36,5,27,16
36,6,12,11
36,7,19,11
36,8,24,11
36,9,30,11
36,10,28,7
36,11,28,-8
37,1,60,61
37,2,45,46
37,3,35,34
37,4,26,21
37,5,16,10
37,6,11,10
37,7,11,0
38,1,61,67
38,2,56,51
38,3,43,47
38,4,43,49
38,5,43,34
38,6,35,20
38,7,29,10
38,8,29,-1
39,1,64,62
39,2,58,48
39,3,56,28
39,4,44,13
39,5,29,1
39,6,28,1
39,7,28,-10
40,1,65,65
40,2,60,53
40,3,57,53
40,4,52,40
40,5,52,30
40,6,41,22
40,7,21,13
40,8,21,12
40,9,21,-2
41,1,60,60
41,2,60,57
41,3,56,43
41,4,44,37
41,5,32,24
41,6,32,23
41,7,32,27
41,8,32,31
41,9,22,18
41,10,10,5
41,11,0,5
42,1,65,75
42,2,53,64
42,3,47,55
42,4,35,42
42,5,23,30
42,6,22,30
42,7,32,40
42,8,28,26
42,9,13,22
42,10,3,14
42,11,-2,2
43,1,70,60
43,2,55,54
43,3,45,34
43,4,37,22
43,5,37,17
43,6,47,27
43,7,47,31
43,8,47,28
43,9,47,26
43,10,47,28
43,11,47,24
43,12,41,14
43,13,41,-1
44,1,75,72
44,2,75,75
44,3,65,55
44,4,59,42
44,5,59,42
44,6,47,22
44,7,47,20
44,8,47,21
44,9,47,21
44,10,47,19
44,11,47,21
44,12,47,23
44,13,47,18
44,14,32,7
44,15,32,-6
45,1,60,50
45,2,60,48
45,3,60,50
45,4,60,52
45,5,40,43
45,6,32,31
45,7,17,17
45,8,17,17
45,9,2,9
45,10,8,9
45,11,-2,9
46,1,60,65
46,2,56,59
46,3,46,49
46,4,31,38
46,5,11,23
46,6,7,23
46,7,2,23
46,8,1,23
46,9,1,23
46,10,1,23
46,11,-1,23
47,1,62,64
47,2,62,60
47,3,54,45
47,4,54,39
47,5,54,37
47,6,54,37
47,7,54,41
47,8,54,37
47,9,54,37
47,10,54,27
47,11,41,23
47,12,41,23
47,13,41,23
47,14,41,23
47,15,27,12
47,16,24,2
47,17,34,12
47,18,22,1
47,19,32,11
47,20,18,3
47,21,28,13
47,22,28,-1
48,1,65,60
48,2,55,47
48,3,46,32
48,4,34,20
48,5,30,10
48,6,15,2
48,7,15,-13
49,1,62,75
49,2,52,61
49,3,32,52
49,4,21,37
49,5,16,37
49,6,16,37
49,7,5,21
49,8,-8,8
50,1,75,73
50,2,62,59
50,3,59,46
50,4,47,36
50,5,37,24
50,6,29,11
50,7,27,11
50,8,27,-4
51,1,65,65
51,2,50,59
51,3,35,48
51,4,35,44
51,5,29,33
51,6,18,22
51,7,-7,2
52,1,65,67
52,2,56,56
52,3,52,56
52,4,52,60
52,5,39,50
52,6,29,35
52,7,14,15
52,8,11,15
52,9,1,2
52,10,1,-8
53,1,61,61
53,2,46,56
53,3,33,41
53,4,25,36
53,5,11,24
53,6,11,24
53,7,6,24
53,8,-9,12
54,1,64,63
54,2,60,54
54,3,58,48
54,4,63,48
54,5,60,42
54,6,56,34
54,7,53,26
54,8,40,12
54,9,40,-1
55,1,69,61
55,2,57,48
55,3,54,33
55,4,50,21
55,5,48,6
55,6,48,0
56,1,63,63
56,2,51,57
56,3,39,46
56,4,24,31
56,5,19,25
56,6,25,25
56,7,21,13
56,8,27,13
56,9,24,1
56,10,32,1
56,11,32,-7
57,1,63,64
57,2,57,49
57,3,54,43
57,4,50,35
57,5,47,33
57,6,44,21
57,7,40,15
57,8,35,15
57,9,31,15
57,10,29,15
57,11,24,2
57,12,23,2
57,13,28,2
57,14,28,-4
58,1,71,62
58,2,60,47
58,3,40,37
58,4,30,37
58,5,37,37
58,6,26,25
58,7,24,15
58,8,9,9
58,9,15,9
58,10,15,-11
59,1,63,65
59,2,59,57
59,3,51,45
59,4,45,30
59,5,45,36
59,6,36,21
59,7,30,10
59,8,30,0
60,1,62,70
60,2,59,57
60,3,43,45
60,4,39,32
60,5,24,29
60,6,12,20
60,7,10,14
60,8,18,14
60,9,28,24
60,10,19,9
60,11,29,19
60,12,15,13
60,13,-10,3
61,1,60,61
61,2,48,58
61,3,38,45
61,4,37,45
61,5,26,25
61,6,16,13
61,7,26,23
61,8,11,11
61,9,-2,1
62,1,63,69
62,2,49,59
62,3,34,49
62,4,22,34
62,5,7,21
62,6,6,21
62,7,6,11
62,8,1,11
62,9,-2,11
63,1,65,67
63,2,57,55
63,3,37,40
63,4,23,25
63,5,20,25
63,6,15,25
63,7,12,25
63,8,22,35
63,9,21,35
63,10,19,35
63,11,14,35
63,12,18,35
63,13,3,25
63,14,2,25
63,15,-10,19
64,1,64,66
64,2,61,58
64,3,45,48
64,4,32,28
64,5,32,26
64,6,32,20
64,7,32,15
64,8,16,3
64,9,16,-3
65,1,73,62
65,2,73,47
65,3,63,34
65,4,54,26
65,5,43,14
65,6,43,-11
66,1,64,72
66,2,62,72
66,3,48,47
66,4,44,37
66,5,34,37
66,6,22,25
66,7,22,25
66,8,21,25
66,9,9,17
66,10,-2,7
67,1,64,60
67,2,49,48
67,3,43,33
67,4,39,23
67,5,23,10
67,6,3,1
67,7,3,-8
68,1,61,61
68,2,51,46
68,3,31,40
68,4,18,32
68,5,2,16
68,6,-1,16
69,1,60,63
69,2,46,51
69,3,35,39
69,4,25,24
69,5,24,24
69,6,21,24
69,7,11,10
69,8,6,10
69,9,-9,2
70,1,62,63
70,2,49,38
70,3,44,26
70,4,44,24
70,5,34,11
70,6,40,11
70,7,40,-2
71,1,61,69
71,2,47,58
71,3,42,47
71,4,30,27
71,5,10,16
71,6,5,16
71,7,-9,4
72,1,63,65
72,2,52,45
72,3,46,37
72,4,34,27
72,5,29,18
72,6,17,6
72,7,27,16
72,8,17,2
72,9,7,2
72,10,7,-13
73,1,64,61
73,2,52,51
73,3,47,51
73,4,35,48
73,5,10,28
73,6,-2,3
74,1,61,62
74,2,61,59
74,3,68,59
74,4,53,49
74,5,42,24
74,6,27,11
74,7,27,0
75,1,75,75
75,2,61,60
75,3,59,60
75,4,47,54
75,5,22,38
75,6,9,34
75,7,3,34
75,8,4,34
75,9,0,34
76,1,62,69
76,2,50,59
76,3,40,39
76,4,28,33
76,5,17,29
76,6,5,13
76,7,2,3
76,8,12,13
76,9,20,13
76,10,10,13
76,11,20,23
76,12,17,23
76,13,12,23
76,14,8,23
76,15,4,23
76,16,-11,11
77,1,75,70
77,2,60,60
77,3,50,52
77,4,40,39
77,5,30,24
77,6,17,8
77,7,17,-7
78,1,62,59
78,2,48,45
78,3,38,30
78,4,29,16
78,5,26,16
78,6,12,8
78,7,9,8
78,8,9,8
78,9,9,-5
79,1,59,64
79,2,48,55
79,3,35,35
79,4,33,23
79,5,37,23
79,6,17,10
79,7,17,-5
80,1,62,75
80,2,48,61
80,3,34,49
80,4,21,37
80,5,20,37
80,6,15,37
80,7,11,37
80,8,6,37
80,9,1,37
80,10,-11,31
81,1,61,60
81,2,57,48
81,3,57,48
81,4,57,48
81,5,57,48
81,6,57,46
81,7,57,43
81,8,57,47
81,9,52,41
81,10,52,36
81,11,37,24
81,12,37,25
81,13,12,11
81,14,17,11
81,15,15,11
81,16,22,11
81,17,22,11
81,18,23,11
81,19,13,11
81,20,7,11
81,21,-3,2
82,1,70,64
82,2,66,39
82,3,63,39
82,4,57,27
82,5,47,16
82,6,39,4
82,7,39,-2
83,1,65,63
83,2,65,67
83,3,64,67
83,4,55,61
83,5,41,49
83,6,29,39
83,7,24,35
83,8,14,24
83,9,0,14
84,1,65,60
84,2,55,45
84,3,41,39
84,4,41,38
84,5,41,36
84,6,41,35
84,7,41,35
84,8,41,25
84,9,35,16
84,10,35,-4
85,1,75,75
85,2,65,69
85,3,51,60
85,4,36,56
85,5,26,41
85,6,16,21
85,7,12,21
85,8,-2,1
86,1,66,64
86,2,58,55
86,3,50,35
86,4,46,19
86,5,56,29
86,6,56,28
86,7,56,24
86,8,56,19
86,9,56,18
86,10,56,12
86,11,56,-2
87,1,75,60
87,2,65,48
87,3,55,34
87,4,42,21
87,5,29,8
87,6,29,-2
88,1,64,65
88,2,53,63
88,3,51,50
88,4,51,46
88,5,51,42
88,6,36,28
88,7,36,26
88,8,32,18
88,9,42,28
88,10,40,8
88,11,40,-12
89,1,73,60
89,2,57,45
89,3,57,40
89,4,57,40
89,5,57,35
89,6,67,45
89,7,67,41
89,8,67,39
89,9,67,24
89,10,57,21
89,11,45,9
89,12,45,-5
90,1,62,62
90,2,52,49
90,3,48,35
90,4,48,39
90,5,48,34
90,6,54,34
90,7,54,32
90,8,54,33
90,9,54,32
90,10,54,32
90,11,54,32
90,12,39,21
90,13,34,11
90,14,34,0
91,1,60,60
91,2,46,46
91,3,46,46
91,4,36,40
91,5,36,46
91,6,24,34
91,7,14,30
91,8,14,20
91,9,9,20
91,10,7,10
91,11,7,-2
92,1,60,63
92,2,50,52
92,3,36,39
92,4,31,27
92,5,31,25
92,6,31,20
92,7,31,20
92,8,31,17
92,9,17,2
92,10,17,-13
93,1,75,75
93,2,73,63
93,3,73,67
93,4,60,54
93,5,60,55
93,6,55,45
93,7,53,31
93,8,49,16
93,9,46,16
93,10,44,1
93,11,44,1
93,12,44,-11
94,1,55,63
94,2,40,38
94,3,28,26
94,4,28,26
94,5,28,22
94,6,28,19
94,7,22,6
94,8,20,6
94,9,20,-9
95,1,67,63
95,2,63,43
95,3,61,31
95,4,57,20
95,5,49,8
95,6,49,-7
96,1,72,75
96,2,58,62
96,3,45,48
96,4,34,28
96,5,34,22
96,6,31,10
96,7,16,8
96,8,16,-4
97,1,64,62
97,2,74,72
97,3,74,73
97,4,71,58
97,5,71,56
97,6,71,53
97,7,71,48
97,8,68,28
97,9,54,20
97,10,39,8
97,11,39,-1
98,1,61,55
98,2,61,53
98,3,49,40
98,4,34,30
98,5,29,14
98,6,34,14
98,7,34,-2
99,1,64,69
99,2,58,69
99,3,44,59
99,4,30,44
99,5,15,31
99,6,0,15
100,1,75,65
100,2,60,61
100,3,49,49
100,4,46,39
100,5,56,49
100,6,54,44
100,7,52,31
100,8,57,31
100,9,52,16
100,10,52,11
100,11,40,2
100,12,40,-8
101,1,60,63
101,2,44,53
101,3,44,48
101,4,29,40
101,5,19,28
101,6,19,28
101,7,21,28
101,8,9,18
101,9,7,18
101,10,5,18
101,11,4,18
101,12,-7,8
102,1,72,63
102,2,57,48
102,3,46,36
102,4,46,30
102,5,30,18
102,6,28,3
102,7,28,-1
103,1,61,65
103,2,46,51
103,3,33,36
103,4,21,25
103,5,22,25
103,6,24,25
103,7,9,11
103,8,7,11
103,9,5,11
103,10,2,11
103,11,2,-4
104,1,73,67
104,2,69,57
104,3,58,53
104,4,45,40
104,5,34,32
104,6,21,17
104,7,16,17
104,8,1,17
104,9,-2,17
105,1,63,61
105,2,58,61
105,3,43,51
105,4,33,26
105,5,31,14
105,6,36,14
105,7,34,4
105,8,34,-9
106,1,60,60
106,2,55,60
106,3,43,51
106,4,18,31
106,5,15,31
106,6,11,31
106,7,-2,16
107,1,62,73
107,2,54,61
107,3,40,49
107,4,20,34
107,5,17,34
107,6,7,24
107,7,-4,14
108,1,60,63
108,2,50,53
108,3,58,53
108,4,44,49
108,5,44,51
108,6,43,51
108,7,28,36
108,8,16,21
108,9,18,21
108,10,22,21
108,11,18,21
108,12,23,21
108,13,19,21
108,14,-1,6
109,1,62,71
109,2,47,56
109,3,34,41
109,4,22,31
109,5,21,31
109,6,21,31
109,7,20,31
109,8,15,31
109,9,12,31
109,10,7,31
109,11,17,41
109,12,13,41
109,13,-2,30
110,1,63,65
110,2,55,50
110,3,53,44
110,4,50,32
110,5,39,22
110,6,39,26
110,7,25,17
110,8,15,12
110,9,15,12
110,10,25,22
110,11,10,13
110,12,8,13
110,13,8,-2
111,1,62,65
111,2,42,56
111,3,32,36
111,4,7,30
111,5,13,30
111,6,8,30
111,7,4,30
111,8,-1,30
112,1,62,64
112,2,62,60
112,3,51,58
112,4,42,33
112,5,28,24
112,6,25,24
112,7,22,24
112,8,26,24
112,9,14,9
112,10,1,1
112,11,1,-9
113,1,72,71
113,2,62,61
113,3,48,46
113,4,35,33
113,5,20,22
113,6,19,22
113,7,14,22
113,8,-6,10
114,1,60,75
114,2,58,75
114,3,46,60
114,4,33,47
114,5,22,38
114,6,17,38
114,7,13,38
114,8,13,37
114,9,-2,26
115,1,65,63
115,2,65,62
115,3,54,50
115,4,41,44
115,5,27,32
115,6,12,12
115,7,9,12
115,8,5,12
115,9,9,12
115,10,8,12
115,11,7,12
115,12,3,12
115,13,1,12
115,14,1,-2
116,1,61,60
116,2,46,50
116,3,46,48
116,4,46,48
116,5,46,45
116,6,43,45
116,7,43,49
116,8,43,47
116,9,39,39
116,10,26,27
116,11,26,22
116,12,20,10
116,13,30,20
116,14,29,20
116,15,29,15
116,16,14,9
116,17,14,-4
117,1,64,69
117,2,56,54
117,3,43,48
117,4,18,33
117,5,17,33
117,6,12,33
117,7,22,43
117,8,17,43
117,9,17,43
117,10,15,43
117,11,15,41
117,12,12,41
117,13,11,41
117,14,9,41
117,15,5,41
117,16,-5,25
118,1,61,75
118,2,51,69
118,3,49,69
118,4,24,54
118,5,23,54
118,6,31,54
118,7,19,44
118,8,9,44
118,9,3,36
118,10,-2,36
119,1,75,73
119,2,75,75
119,3,63,60
119,4,52,44
119,5,48,35
119,6,36,27
119,7,46,37
119,8,31,26
119,9,31,16
119,10,31,23
119,11,31,21
119,12,31,-4
120,1,71,75
120,2,61,61
120,3,52,45
120,4,48,25
120,5,46,13
120,6,46,12
120,7,46,16
120,8,46,-9
121,1,64,60
121,2,54,47
121,3,44,39
121,4,32,27
121,5,30,16
121,6,20,4
121,7,20,-8
122,1,73,66
122,2,60,52
122,3,45,47
122,4,41,43
122,5,36,43
122,6,21,18
122,7,8,8
122,8,3,8
122,9,7,8
122,10,11,8
122,11,10,8
122,12,10,-6
123,1,63,75
123,2,59,73
123,3,39,59
123,4,26,46
123,5,16,35
123,6,6,26
123,7,3,26
123,8,8,26
123,9,6,18
123,10,-2,8
124,1,60,55
124,2,50,50
124,3,39,37
124,4,29,29
124,5,9,20
124,6,-6,20
125,1,64,75
125,2,61,62
125,3,61,62
125,4,36,47
125,5,24,35
125,6,9,26
125,7,3,16
125,8,10,16
125,9,16,16
125,10,10,16
125,11,-2,2
126,1,61,50
126,2,49,40
126,3,37,25
126,4,23,15
126,5,21,15
126,6,26,15
126,7,11,7
126,8,7,7
126,9,7,-18
127,1,61,67
127,2,52,62
127,3,37,54
127,4,29,48
127,5,19,36
127,6,9,21
127,7,1,6
127,8,1,-9
128,1,64,71
128,2,53,51
128,3,43,45
128,4,43,45
128,5,38,45
128,6,33,32
128,7,19,19
128,8,9,17
128,9,-1,17
129,1,63,75
129,2,43,65
129,3,34,54
129,4,30,34
129,5,20,22
129,6,17,10
129,7,17,0
130,1,63,59
130,2,51,49
130,3,40,43
130,4,42,43
130,5,32,29
130,6,20,19
130,7,15,19
130,8,0,7
131,1,64,67
131,2,60,56
131,3,47,45
131,4,34,30
131,5,24,25
131,6,9,11
131,7,9,-1
132,1,75,70
132,2,75,75
132,3,60,63
132,4,62,63
132,5,47,51
132,6,39,43
132,7,34,33
132,8,39,33
132,9,27,31
132,10,11,23
132,11,-4,15
133,1,63,75
133,2,61,75
133,3,36,60
133,4,26,47
133,5,1,44
133,6,0,44
134,1,63,60
134,2,49,54
134,3,37,42
134,4,32,42
134,5,18,27
134,6,14,27
134,7,12,27
134,8,2,27
134,9,-8,12
135,1,64,55
135,2,64,49
135,3,49,47
135,4,49,42
135,5,39,31
135,6,29,17
135,7,19,15
135,8,15,15
135,9,3,9
135,10,3,-6
136,1,66,60
136,2,53,50
136,3,40,30
136,4,30,17
136,5,10,7
136,6,10,-7
137,1,62,61
137,2,58,61
137,3,46,49
137,4,35,37
137,5,36,37
137,6,23,27
137,7,18,27
137,8,17,27
137,9,16,27
137,10,2,17
137,11,-7,4
138,1,75,65
138,2,63,65
138,3,48,50
138,4,44,48
138,5,33,40
138,6,43,50
138,7,32,40
138,8,21,34
138,9,1,23
138,10,-1,23
139,1,60,60
139,2,47,40
139,3,33,29
139,4,31,29
139,5,31,29
139,6,20,18
139,7,20,18
139,8,16,18
139,9,16,18
139,10,11,18
139,11,9,18
139,12,-11,4
140,1,65,61
140,2,61,53
140,3,61,53
140,4,50,47
140,5,40,22
140,6,28,10
140,7,28,-5
141,1,55,63
141,2,45,61
141,3,39,45
141,4,27,35
141,5,27,41
141,6,23,31
141,7,23,31
141,8,13,22
141,9,19,22
141,10,16,22
141,11,16,22
141,12,15,22
141,13,10,7
141,14,10,7
141,15,16,7
141,16,16,7
141,17,12,7
141,18,10,7
141,19,7,7
141,20,3,7
141,21,2,7
141,22,2,-5
142,1,60,75
142,2,40,71
142,3,28,58
142,4,17,38
142,5,5,22
142,6,9,22
142,7,19,32
142,8,21,32
142,9,23,32
142,10,21,32
142,11,12,20
142,12,-3,20
143,1,69,59
143,2,57,49
143,3,42,34
143,4,32,19
143,5,20,9
143,6,20,-3
144,1,72,66
144,2,61,53
144,3,41,38
144,4,31,29
144,5,37,29
144,6,24,19
144,7,9,5
144,8,9,-6
145,1,73,75
145,2,68,63
145,3,48,49
145,4,33,36
145,5,23,25
145,6,21,25
145,7,19,25
145,8,16,25
145,9,15,25
145,10,25,35
145,11,23,35
145,12,27,35
145,13,18,32
145,14,8,32
145,15,-5,7
146,1,67,75
146,2,52,64
146,3,40,53
146,4,27,38
146,5,22,26
146,6,22,26
146,7,8,14
146,8,-7,4
147,1,65,66
147,2,53,53
147,3,43,41
147,4,23,25
147,5,12,5
147,6,2,5
147,7,0,5
148,1,63,63
148,2,48,48
148,3,37,32
148,4,25,19
148,5,15,19
148,6,16,19
148,7,2,13
148,8,10,13
148,9,10,-3
149,1,70,72
149,2,56,64
149,3,53,54
149,4,40,43
149,5,30,33
149,6,20,23
149,7,28,23
149,8,33,23
149,9,23,11
149,10,9,1
149,11,4,1
149,12,-1,1
150,1,66,63
150,2,62,49
150,3,52,47
150,4,37,41
150,5,27,35
150,6,31,35
150,7,19,24
150,8,5,10
150,9,0,10
151,1,65,75
151,2,50,64
151,3,40,44
151,4,30,28
151,5,20,17
151,6,30,27
151,7,15,16
151,8,-5,1
152,1,60,60
152,2,48,50
152,3,37,42
152,4,25,28
152,5,20,28
152,6,20,28
152,7,16,28
152,8,3,14
152,9,3,14
152,10,0,14
153,1,71,63
153,2,56,47
153,3,43,42
153,4,35,36
153,5,21,23
153,6,18,23
153,7,6,19
153,8,-6,15
154,1,63,75
154,2,38,63
154,3,28,53
154,4,25,38
154,5,27,38
154,6,12,38
154,7,8,38
154,8,-7,26
155,1,59,62
155,2,55,62
155,3,53,62
155,4,48,62
155,5,32,42
155,6,19,27
155,7,15,27
155,8,9,17
155,9,8,17
155,10,-2,17
156,1,66,67
156,2,55,64
156,3,43,44
156,4,40,32
156,5,30,18
156,6,30,-2
157,1,67,61
157,2,47,56
157,3,41,56
157,4,35,56
157,5,31,41
157,6,18,31
157,7,3,20
157,8,-2,20
158,1,60,60
158,2,47,52
158,3,36,37
158,4,22,25
158,5,12,13
158,6,7,13
158,7,15,13
158,8,5,13
158,9,-5,8
159,1,75,74
159,2,64,66
159,3,64,63
159,4,50,38
159,5,38,30
159,6,29,15
159,7,14,12
159,8,12,12
159,9,-2,4
160,1,66,59
160,2,53,48
160,3,40,33
160,4,40,35
160,5,28,25
160,6,30,25
160,7,40,35
160,8,31,23
160,9,18,9
160,10,18,-3
161,1,63,65
161,2,52,45
161,3,50,31
161,4,50,21
161,5,37,6
161,6,37,-8
162,1,71,63
162,2,55,63
162,3,35,59
162,4,30,59
162,5,15,49
162,6,12,49
162,7,-1,39
163,1,59,62
163,2,59,60
163,3,44,46
163,4,28,32
163,5,18,24
163,6,8,24
163,7,3,24
163,8,-1,24
164,1,55,63
164,2,43,38
164,3,43,34
164,4,43,40
164,5,31,27
164,6,17,11
164,7,13,11
164,8,11,11
164,9,9,11
164,10,-1,11
165,1,63,50
165,2,51,35
165,3,36,26
165,4,33,21
165,5,20,15
165,6,16,15
165,7,14,15
165,8,15,15
165,9,20,15
165,10,16,15
165,11,1,3
165,12,1,-10
166,1,55,75
166,2,51,66
166,3,39,54
166,4,39,56
166,5,39,46
166,6,26,32
166,7,26,38
166,8,18,26
166,9,17,26
166,10,4,20
166,11,4,15
166,12,4,15
166,13,4,-5
167,1,71,64
167,2,58,53
167,3,43,42
167,4,43,39
167,5,28,26
167,6,20,14
167,7,17,14
167,8,25,14
167,9,25,13
167,10,24,13
167,11,24,13
167,12,24,-7
168,1,63,60
168,2,51,50
168,3,31,40
168,4,17,28
168,5,2,18
168,6,12,28
168,7,12,28
168,8,22,38
168,9,32,48
168,10,18,33
168,11,16,18
168,12,-4,6
169,1,67,55
169,2,63,52
169,3,48,44
169,4,38,31
169,5,18,20
169,6,18,20
169,7,28,30
169,8,16,14
169,9,12,14
169,10,-3,5
170,1,70,72
170,2,55,60
170,3,52,49
170,4,48,37
170,5,36,29
170,6,24,19
170,7,28,19
170,8,3,11
170,9,3,-2
171,1,59,63
171,2,59,61
171,3,47,51
171,4,47,56
171,5,57,66
171,6,57,65
171,7,57,71
171,8,57,75
171,9,45,63
171,10,45,63
171,11,45,58
171,12,45,52
171,13,45,42
171,14,20,27
171,15,30,37
171,16,30,37
171,17,30,33
171,18,30,30
171,19,15,22
171,20,25,32
171,21,31,32
171,22,28,22
171,23,3,14
171,24,0,14
172,1,69,64
172,2,57,52
172,3,45,42
172,4,39,30
172,5,25,10
172,6,32,10
172,7,32,-3
173,1,67,67
173,2,57,57
173,3,44,45
173,4,44,35
173,5,29,20
173,6,17,10
173,7,14,10
173,8,16,10
173,9,16,-4
174,1,70,75
174,2,57,61
174,3,67,71
174,4,67,75
174,5,52,69
174,6,52,71
174,7,52,72
174,8,52,67
174,9,52,67
174,10,52,65
174,11,47,56
174,12,47,56
174,13,47,51
174,14,47,46
174,15,38,34
174,16,26,24
174,17,21,24
174,18,31,34
174,19,31,28
174,20,26,8
174,21,26,-12
